postcodeSector,households,numberOfPostcodeUnits,headcount
BD16 2,1773,241,3592
BD16 3,2426,219,5884
BD16 4,3291,316,6740
BD17 5,3735,279,8196
BD17 6,2826,274,6437
BD17 7,1935,279,3949
BD18 1,2975,205,6962
BD18 2,3009,214,7597
BD18 3,2497,273,5542
BD18 4,3490,259,7690
BD19 3,2911,282,5249
BD19 4,4160,313,9413
BD19 5,1229,151,3073
BD19 6,1779,179,4854
BD2  1,3211,232,8657
BD2  2,2176,149,4940
BD2  3,3237,259,9474
BD2  4,2903,218,8492
BD20 0,2867,238,6353
BD20 5,3109,304,7650
BD20 6,3022,314,8476
BD20 7,2201,234,5070
BD20 8,2481,288,6457
BD20 9,1809,209,4199
BD21 1,2626,234,5605
BD21 2,2424,238,6890
BD21 3,1265,243,4046
BD21 4,2991,329,6695
BD21 5,1317,218,3767
BD22 0,1997,264,4447
BD22 6,3295,233,8291
BD22 7,3928,270,8754
BD22 8,2092,239,4113
BD22 9,2003,244,4267
BD23 1,2826,329,6166
BD23 2,4028,314,8641
BD23 3,2053,278,4420
BD23 4,1714,250,3661
BD23 5,1984,241,3234
BD23 6,1857,250,3999
BD24 0,934,148,2010
BD24 9,1769,234,3259
BD3  0,3437,233,10567
BD3  7,2226,169,8066
BD3  8,2675,244,10076
BD3  9,2018,252,7288
BD4  0,2881,275,6742
BD4  6,3004,264,7778
BD4  7,1926,248,5180
BD4  8,2943,283,7360
BD4  9,2393,211,5513
BD5  0,2788,260,5566
BD5  7,2006,223,5698
BD5  8,2742,234,8608
BD5  9,3558,199,12188
BD6  1,4231,299,8799
BD6  2,3104,274,8079
BD6  3,5315,332,14210
BD7  1,1664,221,5294
BD7  2,3555,274,12610
BD7  3,2932,184,8529
BD7  4,3429,227,9759
BD8  0,2971,220,9169
BD8  7,2305,247,7231
BD8  8,1761,209,7007
BD8  9,3095,254,10744
BD9  4,2724,264,9283
BD9  5,2874,211,11303
BD9  6,2995,240,10953
BH1  1,1673,283,4254
BH1  2,685,197,1834
BH1  3,3960,310,7120
BH1  4,4621,315,10488
BH10 4,1794,142,4905
BH10 5,3072,186,7221
BH10 6,2159,133,4887
BH10 7,1785,133,3911
BH11 8,4222,285,10155
BH11 9,4468,307,10716
BH12 1,2891,201,6190
BH12 2,3489,191,7489
BH12 3,3519,201,8624
BH12 4,3540,236,9471
BH12 5,1693,118,4395
BH13 6,2677,180,4273
BH13 7,2546,234,3760
BH14 0,3231,253,7811
BH14 8,4781,348,9721
BH14 9,3124,226,7676
BH15 1,3544,345,6505
BH15 2,2753,288,7275
BH15 3,4799,274,11068
BH15 4,4365,272,10808
BH16 5,4606,274,11163
BH16 6,2152,209,4972
BH17 7,3892,374,8798
BH17 8,3049,142,7926
BH17 9,2715,144,6301
BH18 8,2088,200,5108
BH18 9,2576,180,6832
BH19 1,2656,229,4325
BH19 2,3160,266,5024
BH19 3,1152,128,1819
BH2  5,2922,292,4896
BH2  6,2349,216,4654
BH20 4,2691,259,5846
BH20 5,2067,220,4051
BH20 6,2376,189,5909
BH20 7,2037,199,4519
BH21 1,4939,390,10115
BH21 2,3818,323,10255
BH21 3,4202,320,11140
BH21 4,862,147,3288
BH21 5,1054,177,2407
BH21 6,593,331,1666
BH21 7,1651,242,3241
BH21 8,213,29,539
BH22 0,3657,210,7380
BH22 8,4846,316,10783
BH22 9,4219,348,9482
BH23 1,3017,266,5609
BH23 2,5164,344,12772
BH23 3,4258,305,9208
BH23 4,4978,345,10092
BH23 5,3715,281,7349
BH23 6,204,90,741
BH23 7,1907,167,4971
BH23 8,2021,170,4561
BH24 1,4650,387,10507
BH24 2,3208,303,7908
BH24 3,2080,279,5187
BH24 4,672,88,1290
BH25 5,5593,396,12364
BH25 6,3353,296,6644
BH25 7,3531,294,6629
BH3  7,2379,196,5626
BH31 6,4352,272,10190
BH31 7,1363,103,3464
BH4  8,3333,173,5206
BH4  9,2295,199,4417
BH5  1,3998,209,6748
BH5  2,2263,156,4515
BH6  3,4581,273,8691
BH6  4,2009,154,4039
BH6  5,4092,281,10473
BH7  6,3603,286,8020
BH7  7,1597,187,3690
BH8  0,3088,205,7347
BH8  8,5730,384,15176
BH8  9,3559,318,9600
BH9  1,4905,323,12673
BH9  2,3410,318,10457
BH9  3,4187,243,9438
BL0  0,2590,268,5586
BL0  9,5438,394,11722
BL1  1,230,315,781
BL1  2,2233,299,4173
BL1  3,4441,315,10829
BL1  4,4233,313,11225
BL1  5,5213,369,11896
BL1  6,3879,255,9308
BL1  7,3648,263,8461
BL1  8,4619,350,12680
BL2  1,1837,197,4306
BL2  2,4025,285,8918
BL2  3,3878,251,8296
BL2  4,2060,168,4749
BL2  5,4159,246,10383
BL2  6,4772,304,10563
BL3  1,5403,307,12320
BL3  2,3718,291,12376
BL3  3,5950,308,15899
BL3  4,6027,354,15804
BL3  5,3151,238,8772
BL3  6,2044,301,6712
BL4  0,4112,233,10739
BL4  7,3223,269,7504
BL4  8,3636,263,8371
BL4  9,3877,272,8826
BL5  1,1213,116,2471
BL5  2,5222,302,12615
BL5  3,5374,391,12379
BL6  4,2402,279,6570
BL6  5,4474,343,10651
BL6  6,3156,310,7570
BL6  7,3033,275,6520
BL7  0,1376,206,3244
BL7  8,317,40,626
BL7  9,4882,368,11306
BL8  1,5481,375,12572
BL8  2,4633,331,10638
BL8  3,3501,251,7780
BL8  4,1820,228,5156
BL9  0,1095,302,3676
BL9  5,2865,228,6630
BL9  6,4096,333,10339
BL9  7,4460,314,10662
BL9  8,4059,265,8821
BL9  9,4649,325,12179
BN1  1,1117,358,1878
BN1  2,3152,310,4433
BN1  3,5991,393,10385
BN1  4,4201,381,8668
BN1  5,4465,294,10575
BN1  6,7710,396,17321
BN1  7,3353,164,8143
BN1  8,6032,333,14691
BN1  9,1883,216,8738
BN10 7,4035,289,9307
BN10 8,4291,330,10609
BN11 1,2433,331,5062
BN11 2,4420,274,9173
BN11 3,2756,268,5067
BN11 4,4631,281,8846
BN11 5,3095,262,6293
BN12 4,3593,331,8910
BN12 5,2425,246,4749
BN12 6,3514,248,9017
BN13 1,3715,293,9006
BN13 2,4718,307,10711
BN13 3,3704,365,10884
BN14 0,2707,208,5730
BN14 7,4591,295,10962
BN14 8,2800,265,6792
BN14 9,3145,256,7604
BN15 0,3605,244,8904
BN15 8,4058,289,7876
BN15 9,4870,307,11440
BN16 1,3239,288,6873
BN16 2,3801,286,6853
BN16 3,3908,304,8363
BN16 4,2886,245,7769
BN17 5,3584,280,6792
BN17 6,5872,350,14270
BN17 7,3479,303,12099
BN18 0,3484,346,9430
BN18 9,2554,277,4829
BN2  0,3451,181,6582
BN2  1,6540,395,10213
BN2  3,5322,315,12161
BN2  4,6095,298,16578
BN2  5,6113,385,13217
BN2  6,3996,212,9793
BN2  7,2093,192,4378
BN2  8,4049,254,8700
BN2  9,4886,244,12683
BN20 0,824,122,1613
BN20 7,3310,312,5993
BN20 8,3539,288,8589
BN20 9,2388,206,5077
BN21 1,3501,292,7327
BN21 2,4631,341,8572
BN21 3,3110,339,6243
BN21 4,2614,321,4128
BN22 0,4165,285,9450
BN22 7,2455,245,5982
BN22 8,4462,306,10509
BN22 9,3235,214,7649
BN23 5,3459,152,6258
BN23 6,3155,269,6625
BN23 7,3515,262,7838
BN23 8,3212,170,7889
BN24 5,2621,231,7466
BN24 6,1756,165,3178
BN25 1,2568,270,4499
BN25 2,3471,314,7262
BN25 3,3928,287,8853
BN25 4,1326,194,3345
BN26 5,3136,291,6041
BN26 6,2566,323,7119
BN27 1,2762,324,7503
BN27 2,2311,246,5760
BN27 3,4742,378,12532
BN27 4,1890,308,6522
BN3  1,6238,372,10684
BN3  2,4355,375,6894
BN3  3,7610,391,13089
BN3  4,3731,251,8178
BN3  5,5426,320,11478
BN3  6,4769,350,11230
BN3  7,4089,291,11000
BN3  8,3447,191,8410
BN41 1,2782,249,6888
BN41 2,5972,298,14485
BN42 4,4299,292,10759
BN43 5,5393,384,12086
BN43 6,4894,273,12177
BN44 3,4581,357,10012
BN45 7,284,56,614
BN5  9,3144,357,8038
BN6  8,3895,324,9398
BN6  9,3559,393,9805
BN7  1,3621,340,8448
BN7  2,3987,362,7995
BN7  3,1669,229,3887
BN8  4,2450,274,6174
BN8  5,2646,313,6200
BN8  6,1762,232,3710
BN9  0,1680,224,4151
BN9  9,4335,317,9755
BR1  1,269,283,1736
BR1  2,4674,390,12486
BR1  3,6111,386,13366
BR1  4,6193,324,14898
BR1  5,7003,304,18151
BR2  0,5636,363,12665
BR2  6,988,132,2892
BR2  7,3576,252,9015
BR2  8,4552,266,10695
BR2  9,4995,393,14360
BR3  1,4645,368,9747
BR3  3,5027,383,13624
BR3  4,5888,373,13884
BR3  5,3743,247,6978
BR3  6,2463,180,5667
BR4  0,3430,278,9453
BR4  9,3969,275,10308
BR5  1,4784,340,12260
BR5  2,5415,322,14221
BR5  3,4512,362,11241
BR5  4,4534,286,11016
BR6  0,4125,355,10074
BR6  6,2716,224,6531
BR6  7,3501,356,8600
BR6  8,3460,257,7781
BR6  9,6012,350,15053
BR7  5,3032,351,7875
BR7  6,4398,335,10917
BR8  7,6373,377,16056
BR8  8,2887,227,7674
BS1  1,462,213,1400
BS1  2,112,169,1681
BS1  3,942,222,2117
BS1  4,345,256,1448
BS1  5,1624,255,5483
BS1  6,2591,360,6622
BS10 5,3852,259,10057
BS10 6,4602,297,11355
BS10 7,3663,325,9194
BS11 0,4321,331,10612
BS11 9,3397,361,8477
BS13 0,3304,209,8107
BS13 7,3562,220,9503
BS13 8,3315,212,8334
BS13 9,2829,171,6454
BS14 0,3609,302,10728
BS14 8,3487,195,8315
BS14 9,5093,244,11887
BS15 1,5262,333,12131
BS15 3,3784,290,9552
BS15 4,4887,330,12084
BS15 8,3388,223,7732
BS15 9,3434,203,8278
BS16 1,4431,395,17431
BS16 2,4103,313,10753
BS16 3,3074,301,8085
BS16 4,3915,274,10389
BS16 5,4695,315,10841
BS16 6,4408,317,10943
BS16 7,3054,262,12689
BS16 9,4181,260,10137
BS2  0,1672,333,4942
BS2  8,2825,284,7547
BS2  9,3020,239,6912
BS20 0,2168,214,4998
BS20 6,3708,265,8678
BS20 7,4984,354,13357
BS20 8,2576,254,5874
BS21 5,2137,129,4602
BS21 6,3948,376,9274
BS21 7,4491,382,9683
BS22 6,3726,245,7618
BS22 7,4229,244,10324
BS22 8,4913,318,10939
BS22 9,3748,360,9150
BS23 1,2876,339,5515
BS23 2,5187,322,9582
BS23 3,5966,351,12899
BS23 4,3703,257,7969
BS24 0,887,125,2171
BS24 6,143,157,674
BS24 7,3286,220,10800
BS24 8,1030,130,5100
BS24 9,2773,249,6071
BS25 1,2055,222,4584
BS25 5,715,94,2060
BS26 2,2174,289,4941
BS27 3,3105,334,7499
BS28 4,1388,237,3316
BS29 6,1336,136,2909
BS3  1,4163,247,9708
BS3  2,2745,235,7282
BS3  3,3179,164,6625
BS3  4,3834,254,8237
BS3  5,3541,202,9378
BS30 5,2029,209,5246
BS30 6,1469,157,3901
BS30 7,1491,106,3202
BS30 8,4414,240,9994
BS30 9,3363,192,7743
BS31 1,3487,337,8862
BS31 2,3635,313,11033
BS31 3,1715,130,4143
BS32 0,3079,134,7413
BS32 4,1790,346,4342
BS32 8,3368,133,7911
BS32 9,2028,84,5089
BS34 5,3551,348,13684
BS34 6,2749,190,6247
BS34 7,3074,218,7572
BS34 8,3467,280,8896
BS35 1,2832,269,8422
BS35 2,2766,201,6561
BS35 3,1371,181,3613
BS35 4,2070,201,5139
BS35 5,269,32,664
BS36 1,2591,230,6774
BS36 2,3757,326,9849
BS37 4,3465,229,9169
BS37 5,3306,232,7635
BS37 6,3468,312,8423
BS37 7,2628,212,8338
BS37 8,2479,128,6453
BS37 9,334,61,892
BS39 4,1039,164,2615
BS39 5,1811,244,5106
BS39 6,1222,131,3146
BS39 7,2263,187,6482
BS4  1,5141,280,14337
BS4  2,4302,241,10887
BS4  3,4103,224,9407
BS4  4,5583,278,13020
BS4  5,1614,207,4067
BS40 5,1929,268,4901
BS40 6,965,163,2308
BS40 7,710,132,1842
BS40 8,1625,249,3733
BS40 9,279,46,970
BS41 8,348,58,896
BS41 9,2233,188,5529
BS48 1,2387,262,5238
BS48 2,3061,233,7597
BS48 3,2264,249,5816
BS48 4,2351,183,4873
BS49 4,3495,278,8927
BS49 5,1475,133,3596
BS5  0,3881,286,10021
BS5  6,5672,267,13917
BS5  7,4995,298,12634
BS5  8,4571,270,10368
BS5  9,4500,274,10493
BS6  5,4862,238,11722
BS6  6,5673,298,12268
BS6  7,4040,270,9994
BS7  0,6542,289,16261
BS7  8,4080,232,11109
BS7  9,6204,294,17076
BS8  1,2110,270,5572
BS8  2,3416,273,7467
BS8  3,2444,259,5984
BS8  4,4401,256,8214
BS9  1,2959,322,9236
BS9  2,2874,250,7464
BS9  3,3607,297,8274
BS9  4,3326,265,8396
CA1  1,1286,232,2065
CA1  2,5446,329,11432
CA1  3,5016,281,11535
CA10 1,2622,279,6211
CA10 2,1657,211,3511
CA10 3,2205,265,4699
CA11 0,2243,290,4381
CA11 7,1828,348,4255
CA11 8,3665,328,8760
CA11 9,2854,278,6011
CA12 4,2542,261,4663
CA12 5,1995,276,2787
CA13 0,4023,372,9056
CA13 9,3169,336,6182
CA14 1,3728,336,9255
CA14 2,2641,302,4714
CA14 3,3978,322,8416
CA14 4,2935,269,5951
CA14 5,3285,260,7533
CA15 6,2199,217,4172
CA15 7,2970,228,7135
CA15 8,2269,209,4826
CA16 6,3012,298,6407
CA17 4,2451,254,4926
CA18 1,190,28,275
CA19 1,557,71,933
CA2  4,4773,267,10528
CA2  5,3921,319,6748
CA2  6,4509,253,10417
CA2  7,5645,298,12916
CA20 1,1688,224,3171
CA21 2,480,40,730
CA22 2,4067,304,8710
CA23 3,682,79,1396
CA24 3,546,45,987
CA25 5,2842,252,5911
CA26 3,1845,124,3483
CA27 0,741,65,1482
CA28 6,4180,274,9122
CA28 7,1748,287,2728
CA28 8,3792,286,8216
CA28 9,3129,250,7785
CA3  0,2719,230,6157
CA3  8,174,263,344
CA3  9,3430,292,7705
CA4  0,1419,194,2745
CA4  8,2587,241,5742
CA4  9,386,223,1215
CA5  6,1637,197,3989
CA5  7,1492,177,3240
CA6  4,1759,224,4271
CA6  5,1565,192,3311
CA6  6,702,149,1604
CA7  0,720,127,1824
CA7  1,732,115,1310
CA7  2,1228,158,2223
CA7  3,1376,201,3359
CA7  4,1926,219,4143
CA7  5,877,95,1912
CA7  8,866,162,2086
CA7  9,2645,232,5885
CA8  1,2279,248,4728
CA8  2,876,164,1635
CA8  7,730,132,1509
CA8  9,994,133,2227
CA9  3,1156,203,2081
CB1  1,1700,213,2975
CB1  2,3246,326,8881
CB1  3,7969,390,20591
CB1  7,1757,171,5766
CB1  8,2284,123,5856
CB1  9,3954,207,9482
CB10 1,2176,314,5040
CB10 2,3493,366,10102
CB11 3,4094,374,10234
CB11 4,3413,329,8808
CB2  0,895,66,2400
CB2  1,1105,310,8302
CB2  3,168,214,1573
CB2  7,66,17,461
CB2  8,1471,117,4869
CB2  9,1437,196,12083
CB21 4,3503,281,8308
CB21 5,2339,171,5859
CB21 6,682,64,1716
CB22 3,3322,207,8064
CB22 4,1803,146,4490
CB22 5,3392,206,8567
CB22 6,492,36,1264
CB22 7,1317,100,3391
CB23 1,1108,86,2643
CB23 2,835,85,1918
CB23 3,1401,140,4483
CB23 4,472,71,1136
CB23 5,828,72,3151
CB23 6,2266,175,8912
CB23 7,3442,227,8762
CB23 8,2169,125,5047
CB24 3,1795,112,5082
CB24 4,1368,99,3597
CB24 5,2826,169,7223
CB24 6,1765,99,4119
CB24 8,2729,168,6754
CB24 9,3336,212,8021
CB25 0,3516,207,8322
CB25 9,4053,300,10732
CB3  0,3130,311,10756
CB3  9,1684,218,6566
CB4  1,7243,396,16184
CB4  2,6101,387,16357
CB4  3,5135,340,11792
CB5  8,4799,391,13530
CB6  1,5422,300,12852
CB6  2,4859,350,12529
CB6  3,5771,375,14356
CB7  4,4089,378,9107
CB7  5,7660,395,19533
CB8  0,4485,345,10094
CB8  7,2992,331,7173
CB8  8,4364,389,9505
CB8  9,3070,334,7827
CB9  0,3312,173,8160
CB9  7,3966,375,10288
CB9  8,2488,214,5707
CB9  9,3498,219,8850
CH1  1,662,307,842
CH1  2,731,209,1397
CH1  3,2279,327,4277
CH1  4,2970,270,7360
CH1  5,5986,292,13799
CH1  6,2090,189,5287
CH2  1,4202,273,9940
CH2  2,3669,195,7847
CH2  3,4490,293,9790
CH2  4,3147,266,8097
CH3  5,5777,347,12544
CH3  6,2137,272,8248
CH3  7,2910,259,6747
