postcode,easting,northing,soilType,elevation,localAuthority,riskLabel,medianPrice,historicallyFlooded
IP12 2ER,641189,256001,Arenosols,0,East Suffolk,9,429400.0,False
DE5 4AH,439780,350493,Unsurveyed/Urban,150,Amber Valley,1,,False
SR2 7PS,438729,556665,Unsurveyed/Urban,40,Sunderland,1,165200.0,False
B26 1QJ,414175,284962,Unsurveyed/Urban,110,Birmingham,1,202300.0,False
IP17 1AQ,638251,261610,Arenosols,20,East Suffolk,1,327600.0,False
SR1 3ND,439300,556700,Unsurveyed/Urban,30,Sunderland,1,676900.0,False
DE24 9HL,434637,332327,Unsurveyed/Urban,50,Derby,1,143000.0,False
S61 4PU,441912,395411,Unsurveyed/Urban,40,Rotherham,1,148400.0,False
SK14 4JR,394739,395626,Unsurveyed/Urban,110,Tameside,1,169500.0,False
WS8 6HE,404954,305140,Unsurveyed/Urban,150,Walsall,1,175200.0,False
DL7 8FL,436485,493505,Unsurveyed/Urban,40,Hambleton,1,229800.0,False
DN20 0HG,496436,409432,Arenosols,30,North Lincolnshire,1,212100.0,False
LN11 0LR,532774,387513,Unsurveyed/Urban,30,East Lindsey,1,238400.0,True
LE19 4PD,452962,299632,Stagnosols,100,Blaby,1,714400.0,False
LS23 6XP,440524,448408,Unsurveyed/Urban,30,Leeds,1,418600.0,False
HD1 5QG,413510,417199,Unsurveyed/Urban,140,Kirklees,1,79900.0,False
PE30 9DZ,562096,320460,Unsurveyed/Urban,0,King's Lynn and West Norfolk,1,,True
S80 4PT,452864,376215,Unsurveyed/Urban,110,Bolsover,1,126500.0,False
B77 4LS,423500,302205,Planosols,80,Tamworth,1,247600.0,False
NN16 6JN,486533,278774,Unsurveyed/Urban,80,North Northamptonshire,1,,False
DE23 1LA,434402,332717,Unsurveyed/Urban,60,Derby,1,140700.0,False
PE32 2XG,581700,315200,Leptosols,40,King's Lynn and West Norfolk,1,334200.0,False
NE61 6PU,425563,590758,Stagnosols,20,Northumberland,1,306700.0,False
PE12 6AE,524496,318957,Gleysols,0,South Holland,8,255300.0,False
DH3 1GL,427623,556891,Cambisols,80,Gateshead,1,146000.0,False
YO5 8QZ,446475,452241,Luvisols,20,Harrogate,1,,False
IP21 4RJ,621542,284253,Cambisols,30,South Norfolk,1,735300.0,False
WF7 6LT,442832,421232,Unsurveyed/Urban,60,Wakefield,1,91600.0,False
HX1 1XY,409212,425256,Unsurveyed/Urban,150,Calderdale,1,174400.0,False
DL8 5LU,416819,493892,Cambisols,200,Richmondshire,1,284300.0,False
IP19 0EA,633429,272573,Cambisols,30,East Suffolk,1,232100.0,False
LS6 9DZ,430522,435082,Unsurveyed/Urban,40,Leeds,1,,False
DE23 3XB,432308,332948,Luvisols,60,Derby,1,247700.0,False
NE23 6TW,427062,576580,Unsurveyed/Urban,70,Northumberland,1,228500.0,False
HU17 7EH,502230,440570,Unsurveyed/Urban,20,East Riding of Yorkshire,1,355400.0,False
NG17 8EX,449651,356679,Unsurveyed/Urban,160,Ashfield,1,164000.0,False
CA6 7NN,368379,551054,Stagnosols,250,Northumberland,1,,False
LS26 1FY,439221,432401,Unsurveyed/Urban,50,Leeds,1,,False
NR28 0SE,630818,334404,Cambisols,40,North Norfolk,1,340900.0,False
NE2 2LY,425802,566269,Unsurveyed/Urban,50,Newcastle upon Tyne,1,392700.0,False
SK4 9BH,389357,390095,Unsurveyed/Urban,60,Stockport,1,,False
DN6 7UD,452981,408257,Unsurveyed/Urban,40,Doncaster,1,137300.0,False
SK11 0NB,394467,371713,Stagnosols,190,Cheshire East,6,464800.0,False
NG34 0JL,513003,337503,Cambisols,10,North Kesteven,8,269700.0,False
DE4 9BJ,429917,360272,Unsurveyed/Urban,100,Derbyshire Dales,1,,True
NG9 8HA,449004,338583,Unsurveyed/Urban,50,Broxtowe,1,177300.0,False
DE2 0FX,437900,332500,Unsurveyed/Urban,50,Derby,1,,False
YO2 6HR,456043,454880,Luvisols,10,York,1,,False
HG2 9HW,430422,453192,Unsurveyed/Urban,140,Harrogate,1,590500.0,False
DL5 5JR,427122,524496,Unsurveyed/Urban,90,County Durham,1,90800.0,False
SK12 1GN,391049,383774,Unsurveyed/Urban,90,Cheshire East,1,388600.0,False
WS7 0BJ,406269,308956,Unsurveyed/Urban,140,Lichfield,1,246200.0,False
OL4 4SE,395737,405164,Unsurveyed/Urban,210,Oldham,1,258900.0,False
NR30 2SF,652500,307194,Unsurveyed/Urban,0,Great Yarmouth,1,152100.0,True
HG3 1ZT,431404,456372,Unsurveyed/Urban,100,Harrogate,1,759100.0,False
HG1 9GY,431404,456372,Unsurveyed/Urban,100,Harrogate,1,,False
TS18 5DF,442228,517662,Unsurveyed/Urban,20,Stockton-on-Tees,1,150400.0,False
HU4 7NB,504890,428205,Unsurveyed/Urban,10,"Kingston upon Hull, City of",8,105900.0,False
NR11 7LE,614248,334709,Cambisols,50,North Norfolk,1,320100.0,False
DE14 1ER,424299,322955,Unsurveyed/Urban,50,East Staffordshire,6,179700.0,True
YO12 6HH,502109,489433,Unsurveyed/Urban,50,Scarborough,1,191500.0,False
NR6 7LA,623731,311919,Unsurveyed/Urban,30,Broadland,1,225200.0,False
S36 2QN,427694,398091,Unsurveyed/Urban,200,Sheffield,1,106900.0,False
SK10 2XG,392003,376053,Cambisols,150,Cheshire East,1,372300.0,False
NR21 8FB,592426,329643,Luvisols,40,North Norfolk,1,169600.0,False
NE9 7EG,426556,558435,Unsurveyed/Urban,100,Gateshead,1,88600.0,False
NG14 5HA,465910,344479,Cambisols,20,Newark and Sherwood,2,348200.0,False
NG7 2PU,455825,337922,Unsurveyed/Urban,30,Nottingham,1,1103400.0,True
HD9 9SN,414136,408205,Unsurveyed/Urban,150,Kirklees,1,,False
CW11 0AS,375900,360900,Unsurveyed/Urban,70,Cheshire East,1,,False
NN15 5RR,489647,274378,Cambisols,70,North Northamptonshire,1,238900.0,False
DH4 6RG,432043,546319,Stagnosols,90,County Durham,1,155300.0,False
TS19 8DD,442590,521189,Unsurveyed/Urban,30,Stockton-on-Tees,1,60300.0,False
SK22 1EA,401045,390384,Gleysols,330,High Peak,1,378800.0,False
LS18 5LN,423546,438083,Unsurveyed/Urban,130,Leeds,1,249600.0,False
NE34 9BX,435365,564315,Unsurveyed/Urban,20,South Tyneside,1,342900.0,False
CW11 9SR,379001,362822,Gleysols,70,Cheshire East,1,,False
DE4 1RB,425143,372221,Cambisols,110,Derbyshire Dales,1,,True
TS18 1EW,444264,518658,Unsurveyed/Urban,10,Stockton-on-Tees,1,99700.0,False
NG3 4FX,457506,341085,Unsurveyed/Urban,60,Nottingham,1,212200.0,False
S36 1LA,425633,398741,Unsurveyed/Urban,200,Sheffield,1,143500.0,False
B16 6GG,404836,286159,Unsurveyed/Urban,160,Birmingham,1,,False
LN8 5RW,516797,381283,Stagnosols,50,East Lindsey,1,173400.0,False
HU3 5LA,506992,428070,Unsurveyed/Urban,10,"Kingston upon Hull, City of",6,100800.0,False
HG4 4NS,421868,480266,Cambisols,90,Harrogate,1,450500.0,False
LN2 3EL,500348,390443,Gleysols,20,West Lindsey,1,282500.0,False
WF4 3AH,431228,416851,Stagnosols,40,Wakefield,1,178200.0,False
IP11 7QA,629724,234231,Unsurveyed/Urban,10,East Suffolk,1,334600.0,False
HU3 4NH,507600,427400,Unsurveyed/Urban,10,"Kingston upon Hull, City of",1,179400.0,False
PE25 2LU,555182,364193,Gleysols,0,East Lindsey,6,146100.0,False
NR11 6TY,628437,330187,Unsurveyed/Urban,30,North Norfolk,1,320000.0,False
OL3 6DJ,399928,405735,Unsurveyed/Urban,180,Oldham,1,296000.0,False
S64 9WB,444600,401062,Unsurveyed/Urban,20,Rotherham,1,78000.0,False
S5 6HE,436995,391355,Unsurveyed/Urban,110,Sheffield,1,121400.0,False
M34 5HE,392490,397392,Unsurveyed/Urban,100,Tameside,1,248000.0,False
WV12 4LE,396700,299800,Unsurveyed/Urban,140,Walsall,1,140100.0,False
TS24 0RS,452607,533845,Unsurveyed/Urban,10,Hartlepool,1,138300.0,False
LE8 9HE,465661,297473,Luvisols,100,Harborough,8,288200.0,False
B33 8TF,412354,286512,Unsurveyed/Urban,100,Birmingham,1,194100.0,False
BD6 3AF,414502,430730,Unsurveyed/Urban,240,Bradford,1,93400.0,False
S40 4XH,435063,372271,Planosols,130,Chesterfield,1,176100.0,False
HD7 4PZ,409509,415833,Unsurveyed/Urban,210,Kirklees,1,210500.0,False
DE4 4GD,429232,354104,Stagnosols,170,Derbyshire Dales,1,331400.0,False
NR21 8AY,592189,329594,Luvisols,40,North Norfolk,1,218500.0,False
NR9 5NP,613723,319319,Gleysols,20,Broadland,1,419900.0,False
YO17 7BA,477761,471847,Leptosols,50,Ryedale,1,272700.0,False
SK7 1AH,389124,384631,Unsurveyed/Urban,80,Stockport,1,542900.0,False
B18 7DY,404439,287975,Unsurveyed/Urban,140,Birmingham,1,368400.0,False
CV9 3AD,430774,298529,Unsurveyed/Urban,80,North Warwickshire,1,346300.0,False
BD8 0DP,412748,433447,Unsurveyed/Urban,160,Bradford,1,93800.0,False
BD12 9QP,415786,427005,Unsurveyed/Urban,160,Bradford,1,153300.0,False
LE18 1DE,460464,299713,Unsurveyed/Urban,90,Oadby and Wigston,1,238400.0,False
WS12 9AL,398177,310473,Unsurveyed/Urban,160,Cannock Chase,1,,False
IP5 1DF,620315,246422,Arenosols,40,East Suffolk,1,284700.0,False
NE6 4BE,428312,565003,Unsurveyed/Urban,40,Newcastle upon Tyne,1,131300.0,False
SR8 1QN,441208,539407,Cambisols,130,County Durham,1,154900.0,False
NR34 9XR,642260,290363,Unsurveyed/Urban,10,East Suffolk,1,241800.0,False
S40 4ZS,436298,372090,Unsurveyed/Urban,100,Chesterfield,1,184700.0,False
ST14 8QY,407144,330521,Cambisols,140,East Staffordshire,1,318200.0,False
BD21 3JN,406603,441917,Unsurveyed/Urban,90,Bradford,1,119600.0,False
LE21 9DZ,459327,304196,Unsurveyed/Urban,70,Leicester,1,,False
NG31 8FY,489988,337545,Stagnosols,80,South Kesteven,1,200800.0,False
WV13 2EH,396941,298577,Unsurveyed/Urban,130,Walsall,1,184100.0,False
LE1 7YX,459294,304253,Unsurveyed/Urban,70,Leicester,1,687500.0,False
DE7 5PP,447329,341352,Unsurveyed/Urban,60,Erewash,1,92500.0,False
NG19 0GT,455621,362950,Arenosols,90,Mansfield,1,176400.0,False
B10 9PL,410878,286200,Unsurveyed/Urban,120,Birmingham,1,154600.0,False
HG2 0LH,429868,455196,Unsurveyed/Urban,110,Harrogate,1,659100.0,False
LS21 2BS,420365,446799,Unsurveyed/Urban,100,Leeds,1,348400.0,False
SK8 3XQ,385616,388498,Unsurveyed/Urban,40,Stockport,1,337700.0,False
S35 8SP,434287,394791,Cambisols,110,Sheffield,1,223600.0,False
B74 2HP,408219,296987,Unsurveyed/Urban,150,Walsall,1,553400.0,False
B77 5GL,422205,301088,Planosols,80,Tamworth,1,451800.0,False
B8 1HG,409861,287609,Unsurveyed/Urban,120,Birmingham,1,182900.0,False
LN4 4GP,522068,358558,Gleysols,10,East Lindsey,6,218100.0,False
HU5 5FP,505300,429200,Unsurveyed/Urban,10,East Riding of Yorkshire,1,111100.0,False
NG31 7FS,490932,334374,Unsurveyed/Urban,70,South Kesteven,1,149800.0,False
HX2 8NN,406725,428189,Unsurveyed/Urban,270,Calderdale,1,123600.0,False
M35 9DR,390400,401555,Unsurveyed/Urban,100,Oldham,1,203100.0,False
WF17 7HR,423292,424217,Unsurveyed/Urban,130,Kirklees,1,132700.0,False
HU8 9AB,512345,430982,Unsurveyed/Urban,10,"Kingston upon Hull, City of",1,119700.0,False
B31 1QU,401700,279300,Unsurveyed/Urban,180,Birmingham,1,173400.0,False
NE4 9EA,422605,565979,Unsurveyed/Urban,100,Newcastle upon Tyne,1,202800.0,False
OL2 5RJ,391706,407867,Unsurveyed/Urban,150,Oldham,1,181700.0,False
NR1 1RN,624434,308261,Unsurveyed/Urban,20,Norwich,1,343600.0,False
NE61 3AN,423101,592221,Stagnosols,50,Northumberland,1,352700.0,False
HU8 0NN,511966,432376,Unsurveyed/Urban,10,"Kingston upon Hull, City of",6,164600.0,False
YO17 8LZ,485595,474433,Arenosols,30,Ryedale,1,201700.0,False
LN5 8YW,497221,370656,Unsurveyed/Urban,10,Lincoln,1,178100.0,False
LS28 5LJ,421916,435536,Unsurveyed/Urban,90,Leeds,1,186800.0,False
S44 6DQ,447876,370748,Cambisols,170,Bolsover,1,156500.0,False
NG33 4SR,495826,319514,Leptosols,90,South Kesteven,1,361300.0,False
NR3 3JA,622771,310386,Unsurveyed/Urban,10,Norwich,1,128800.0,False
DN17 2FB,486991,408613,Podsols,10,North Lincolnshire,6,140700.0,True
PE4 6QA,516769,303045,Unsurveyed/Urban,10,Peterborough,1,226800.0,False
S70 2LS,434268,406849,Unsurveyed/Urban,110,Barnsley,1,183700.0,False
NR7 7HU,624885,310736,Unsurveyed/Urban,40,Broadland,1,,False
DL14 0JD,415772,528178,Stagnosols,210,County Durham,1,74800.0,False
ST16 3FF,391803,322843,Unsurveyed/Urban,80,Stafford,1,172400.0,False
WS3 1TY,401900,300600,Unsurveyed/Urban,130,Walsall,1,173300.0,False
B12 0WA,411386,284123,Unsurveyed/Urban,120,Birmingham,1,1087800.0,False
BD10 0RN,417845,438749,Unsurveyed/Urban,130,Bradford,1,211500.0,False
LS21 1LT,424601,445228,Stagnosols,50,Leeds,1,219800.0,False
DN14 0LT,456294,423492,Arenosols,10,Selby,1,446000.0,False
NG19 6BD,453056,361680,Unsurveyed/Urban,120,Mansfield,1,138500.0,False
NN8 2QJ,489512,266710,Unsurveyed/Urban,50,North Northamptonshire,1,215300.0,False
WS13 8RZ,414886,311866,Cambisols,70,Lichfield,1,822000.0,False
DN1 3HQ,457800,403100,Unsurveyed/Urban,20,Doncaster,1,176700.0,False
YO16 4TF,516859,466743,Unsurveyed/Urban,20,East Riding of Yorkshire,1,124000.0,False
LS2 7BW,430300,433300,Unsurveyed/Urban,30,Leeds,1,182000.0,False
NE61 2EX,420708,585345,Unsurveyed/Urban,50,Northumberland,1,306500.0,False
PE3 9FD,516528,299384,Unsurveyed/Urban,20,Peterborough,1,270400.0,False
NE46 1HJ,394276,563978,Unsurveyed/Urban,50,Northumberland,1,283300.0,False
S11 0BP,432805,385290,Unsurveyed/Urban,130,Sheffield,1,,False
ST10 2AW,400964,346928,Cambisols,190,Staffordshire Moorlands,1,205600.0,False
NR24 2LE,606185,332627,Cambisols,60,North Norfolk,1,195300.0,False
LS18 4RQ,422764,437301,Stagnosols,90,Leeds,1,287000.0,False
TS26 0PQ,448627,533249,Stagnosols,40,Hartlepool,1,207500.0,False
LE7 7YH,454663,307420,Luvisols,70,Charnwood,1,174800.0,False
DL2 1PA,436700,513100,Unsurveyed/Urban,40,Darlington,1,209300.0,False
HU7 6YU,509295,432522,Unsurveyed/Urban,0,"Kingston upon Hull, City of",1,107400.0,True
HU5 3AX,507935,430622,Unsurveyed/Urban,0,"Kingston upon Hull, City of",6,170800.0,False
LE1 1UU,459074,304595,Unsurveyed/Urban,60,Leicester,1,2595200.0,False
HX1 4AP,408098,425783,Unsurveyed/Urban,210,Calderdale,1,104400.0,False
HX5 0PR,410800,420900,Unsurveyed/Urban,100,Calderdale,1,150400.0,False
DN9 3AJ,466997,400323,Gleysols,10,Doncaster,5,237500.0,False
S21 3UU,444798,377989,Planosols,60,North East Derbyshire,4,217400.0,False
YO6 5AH,461100,483900,Arenosols,60,Ryedale,1,,False
NG17 3LT,448128,360280,Cambisols,170,Ashfield,1,170900.0,False
BD12 0AJ,415132,428685,Unsurveyed/Urban,180,Bradford,1,154100.0,False
B27 6AX,412169,284210,Unsurveyed/Urban,120,Birmingham,1,131300.0,False
NE1 3AZ,424773,563694,Unsurveyed/Urban,30,Newcastle upon Tyne,1,164700.0,False
IP19 8RF,641004,281672,Stagnosols,40,East Suffolk,1,282600.0,False
SK12 6NT,406295,380870,Stagnosols,220,High Peak,1,,False
NG6 0DE,454983,343935,Unsurveyed/Urban,50,Nottingham,1,141600.0,False
HU8 8AS,510798,430769,Unsurveyed/Urban,10,"Kingston upon Hull, City of",1,125700.0,False
NG16 3QN,447766,346814,Unsurveyed/Urban,110,Broxtowe,1,158700.0,False
NN29 7TE,487596,264301,Cambisols,70,North Northamptonshire,1,289400.0,False
TS16 0YY,443600,519400,Unsurveyed/Urban,10,Stockton-on-Tees,1,197400.0,False
YO31 1SH,461953,452531,Unsurveyed/Urban,10,York,1,283500.0,False
DE21 7AQ,440067,336581,Unsurveyed/Urban,90,Derby,1,474200.0,False
LE19 2BW,455121,298963,Planosols,70,Blaby,1,199300.0,False
SK10 5PW,393632,377893,Unsurveyed/Urban,140,Cheshire East,2,332000.0,False
S43 2YT,440170,375162,Unsurveyed/Urban,70,Chesterfield,1,157100.0,False
YO15 3LG,517902,466044,Unsurveyed/Urban,10,East Riding of Yorkshire,1,169400.0,False
YO16 4LA,517816,467101,Unsurveyed/Urban,10,East Riding of Yorkshire,1,115900.0,False
S30 5SJ,428259,397680,Unsurveyed/Urban,210,Sheffield,1,,False
