postcode,easting,northing,soilType,elevation
DN33 1NW,526079,407468,Unsurveyed/Urban,10
B29 6HZ,404294,281904,Unsurveyed/Urban,160
YO6 3YP,452372,470306,Arenosols,40
PE23 5SE,545495,367612,Cambisols,30
YO24 4JZ,458412,450766,Unsurveyed/Urban,10
PE22 8SA,547523,355765,Gleysols,0
SK10 9YL,391750,373748,Unsurveyed/Urban,150
DE14 1RH,425524,324635,Stagnosols,50
NE12 9JA,428177,568954,Unsurveyed/Urban,60
PE10 9NU,509094,320509,Cambisols,10
B25 8QP,411984,285903,Unsurveyed/Urban,110
LE6 2AX,440435,313902,Luvisols,150
SK9 3BG,385970,383080,Unsurveyed/Urban,80
SK4 4JN,388297,391359,Unsurveyed/Urban,70
SK6 2QT,391853,392510,Stagnosols,90
CW11 2UE,378765,362012,Gleysols,70
YO2 1DQ,459561,450763,Unsurveyed/Urban,20
NE23 9RS,426500,577600,Unsurveyed/Urban,60
DL14 8EY,422066,529178,Stagnosols,110
BD5 8AH,416166,430993,Unsurveyed/Urban,170
B34 6YW,414570,287556,Unsurveyed/Urban,100
LA6 3GQ,369432,473362,Stagnosols,120
DE5 3DN,440054,350658,Unsurveyed/Urban,150
IP24 2UP,588410,283764,Arenosols,20
SK10 2QL,391068,375887,Cambisols,130
B27 6DD,412679,283071,Unsurveyed/Urban,120
WS11 0JB,398274,309198,Unsurveyed/Urban,120
OL2 7HP,392600,409600,Unsurveyed/Urban,210
YO1 2AN,460217,451997,Unsurveyed/Urban,10
NG19 0DZ,456696,362151,Unsurveyed/Urban,110
BD2 1FS,415907,435912,Unsurveyed/Urban,110
YO2 3TB,457144,446458,Gleysols,10
LS18 4PG,424466,437716,Unsurveyed/Urban,110
YO61 2QG,446635,473592,Stagnosols,30
B4 7WA,407279,288677,Unsurveyed/Urban,110
LS27 7XF,426500,429200,Unsurveyed/Urban,100
NG10 5PS,447444,335648,Unsurveyed/Urban,60
B31 1GB,400962,281659,Unsurveyed/Urban,170
NE5 4EU,420248,568176,Unsurveyed/Urban,100
TS17 9JX,445908,514681,Unsurveyed/Urban,30
DN3 1DW,463292,409514,Gleysols,10
B44 9RG,407999,295068,Unsurveyed/Urban,140
LS29 1GD,411913,447493,Unsurveyed/Urban,110
LS16 6PL,424819,439157,Unsurveyed/Urban,140
DH1 1TL,430360,544571,Stagnosols,70
PE13 3BU,545989,310591,Unsurveyed/Urban,0
HD6 3RN,414515,421664,Unsurveyed/Urban,130
LE7 2WJ,462702,311742,Unsurveyed/Urban,50
B32 1EB,400144,284368,Unsurveyed/Urban,190
NE5 2JF,419285,566316,Unsurveyed/Urban,100
NG9 3FQ,450855,338564,Unsurveyed/Urban,70
LE14 3QU,472761,318975,Cambisols,90
S40 2RW,438046,370230,Unsurveyed/Urban,90
S42 7AF,434969,373362,Planosols,140
LS29 6BP,418498,443428,Stagnosols,160
S3 9AQ,435515,389162,Unsurveyed/Urban,100
NG18 9AT,454469,362248,Unsurveyed/Urban,100
PE38 9PJ,560933,303767,Luvisols,20
OL2 5PB,392008,407573,Unsurveyed/Urban,160
TS5 8ED,448679,515197,Unsurveyed/Urban,30
HG1 2NZ,428869,454877,Unsurveyed/Urban,140
PE25 9DB,556336,363349,Unsurveyed/Urban,0
YO2 1TE,459619,447176,Gleysols,10
WS9 8DA,404511,300997,Unsurveyed/Urban,140
OL2 7NH,392551,409742,Unsurveyed/Urban,210
PE1 3SX,519724,301763,Unsurveyed/Urban,10
LE3 3SY,454319,302532,Unsurveyed/Urban,90
S19 5LF,443364,381579,Unsurveyed/Urban,70
S60 9EP,442732,392677,Unsurveyed/Urban,30
DH8 1FL,413414,550623,Arenosols,220
YO25 0SR,506068,464143,Luvisols,30
OL1 1EN,393144,405026,Unsurveyed/Urban,190
NG10 1QE,449073,333534,Unsurveyed/Urban,30
ST12 9AX,388570,338621,Stagnosols,110
NG34 0EJ,504103,337187,Cambisols,50
TS10 4JN,460158,523911,Unsurveyed/Urban,10
LE9 4LJ,448733,294612,Stagnosols,90
B12 8XE,408291,284689,Unsurveyed/Urban,120
HG2 7RS,431931,455521,Unsurveyed/Urban,110
DL5 4PL,426256,526762,Stagnosols,120
PE20 3BD,521233,339342,Gleysols,0
ST8 9BQ,388452,357611,Unsurveyed/Urban,180
B44 0SU,408951,294633,Unsurveyed/Urban,140
LS24 9FE,448090,443579,Unsurveyed/Urban,20
BD4 7BT,416745,432426,Unsurveyed/Urban,120
HU15 2GU,491564,430826,Cambisols,20
LE65 2HF,435610,316801,Unsurveyed/Urban,130
TS19 1BU,444053,519811,Unsurveyed/Urban,10
BD21 1PP,405745,440989,Unsurveyed/Urban,110
DN14 6UR,473486,424006,Cambisols,10
NE64 6HY,430656,588145,Unsurveyed/Urban,20
WS3 3TT,399372,303313,Arenosols,160
S13 7UB,442314,384889,Unsurveyed/Urban,80
DN1 3NN,457900,403100,Unsurveyed/Urban,20
NR30 4EQ,652695,309223,Unsurveyed/Urban,0
WS12 5QF,403337,311792,Planosols,200
BD18 2HH,415438,436395,Unsurveyed/Urban,90
TS10 5HP,458830,523746,Unsurveyed/Urban,10
BD18 3DX,414517,437240,Unsurveyed/Urban,100
LE2 3QJ,460739,301235,Unsurveyed/Urban,80
HU17 6ET,505290,439461,Unsurveyed/Urban,10
HX7 8YP,399170,427141,Cambisols,100
NE61 9FP,419722,585993,Unsurveyed/Urban,30
LN11 9RN,529416,385051,Stagnosols,60
SK10 9SQ,391750,373748,Unsurveyed/Urban,150
LS15 7NZ,435730,434892,Unsurveyed/Urban,80
NE20 9AA,416175,572983,Unsurveyed/Urban,60
NG19 8PS,454260,363839,Unsurveyed/Urban,80
CW12 4LQ,384216,362913,Unsurveyed/Urban,100
NG10 1GG,449276,332737,Unsurveyed/Urban,30
WS1 9JL,401356,298698,Unsurveyed/Urban,120
DN11 0HX,462530,398722,Histosols,10
PE20 3PQ,521220,341561,Gleysols,0
ST17 9TS,391070,321761,Unsurveyed/Urban,100
LN6 5XH,492272,371765,Gleysols,10
TS24 9BJ,449672,534666,Unsurveyed/Urban,10
DH7 7YS,423342,542536,Stagnosols,120
HU7 5DU,509985,435165,Leptosols,10
DH9 7HL,418863,551573,Unsurveyed/Urban,190
HX6 3SA,404973,421943,Cambisols,210
ST17 9FL,390882,321238,Luvisols,110
NE9 5XZ,425054,559901,Unsurveyed/Urban,20
ST9 9QT,396329,354543,Cambisols,220
LN6 9YE,492699,365661,Gleysols,10
ST8 6HR,388323,357535,Unsurveyed/Urban,180
NG2 7BA,458740,336072,Unsurveyed/Urban,50
NG11 8SB,454408,334405,Unsurveyed/Urban,50
DE6 5BQ,415740,328486,Luvisols,80
NR27 0DW,622869,341292,Arenosols,50
TS21 2DW,435573,528386,Unsurveyed/Urban,100
WF1 2YX,432670,423095,Stagnosols,70
B16 6BQ,404836,286159,Unsurveyed/Urban,160
NR10 5PL,618171,323587,Cambisols,30
S20 1DU,443816,383798,Unsurveyed/Urban,60
DH6 2EE,437164,543035,Stagnosols,140
WF3 2JZ,429702,424403,Cambisols,100
HG4 5JB,433434,475896,Luvisols,30
NG2 4HA,458622,339639,Unsurveyed/Urban,40
NR4 7QH,620780,306875,Unsurveyed/Urban,30
B44 9BY,407511,294654,Unsurveyed/Urban,140
LA6 3DD,369343,472533,Stagnosols,120
LE6 5EU,436038,316075,Unsurveyed/Urban,140
NN17 5QX,491800,290000,Unsurveyed/Urban,100
LN1 1FR,497221,370656,Unsurveyed/Urban,10
NG22 8QP,464637,360600,Unsurveyed/Urban,70
NG5 9EP,456317,345954,Unsurveyed/Urban,100
TS2 1JX,449500,521100,Unsurveyed/Urban,10
OL2 8EB,394523,409651,Unsurveyed/Urban,180
SR5 9AH,437281,558342,Unsurveyed/Urban,10
YO3 3EJ,460982,457586,Stagnosols,10
HD7 1WR,414290,407641,Cambisols,170
LS11 5EB,429986,432696,Unsurveyed/Urban,30
NN10 6DU,495687,267782,Unsurveyed/Urban,70
YO7 4HH,435756,487644,Cambisols,40
PE3 8DB,516295,300660,Unsurveyed/Urban,20
LS9 6LW,432900,434400,Unsurveyed/Urban,80
S25 4BR,451955,384883,Unsurveyed/Urban,130
WF9 3RA,444863,410517,Unsurveyed/Urban,60
SK9 7DF,384950,377873,Unsurveyed/Urban,140
DL15 8DX,412689,535450,Leptosols,190
NN16 6PZ,499524,278638,Cambisols,30
WS15 2EF,404685,317734,Cambisols,80
B12 0UE,411386,284123,Unsurveyed/Urban,120
B34 7LQ,415785,288747,Unsurveyed/Urban,90
NG90 1WT,454102,336709,Unsurveyed/Urban,30
B30 2AZ,404848,279910,Unsurveyed/Urban,150
WF10 4PW,443489,424223,Unsurveyed/Urban,30
NE28 9ND,432342,568791,Unsurveyed/Urban,60
TS27 3HR,446317,530292,Stagnosols,50
S30 3PH,432638,393676,Cambisols,250
NG10 3DA,447847,331710,Unsurveyed/Urban,30
S19 5FX,444400,382000,Planosols,60
LE9 3WZ,451658,297383,Cambisols,80
B13 8LJ,407471,282613,Unsurveyed/Urban,150
SK17 9EL,406190,372661,Unsurveyed/Urban,320
LE5 5RF,461242,302596,Unsurveyed/Urban,80
WF4 1WG,438832,419214,Unsurveyed/Urban,70
LE8 2BP,460432,298727,Unsurveyed/Urban,90
B36 8JJ,412641,289254,Unsurveyed/Urban,110
WF17 0JQ,423750,426713,Unsurveyed/Urban,130
NR33 8RZ,651515,291062,Stagnosols,10
HU9 3PE,513127,431013,Unsurveyed/Urban,10
NE5 3WS,420190,565572,Unsurveyed/Urban,70
B19 2XZ,406772,288618,Unsurveyed/Urban,120
CW11 0NH,374833,357807,Arenosols,60
HD3 3FZ,408096,417613,Cambisols,290
S9 1FD,438838,391288,Unsurveyed/Urban,70
WS1 4LR,400677,296965,Unsurveyed/Urban,120
S60 5FN,441670,387463,Arenosols,60
HU2 8PS,509311,429053,Unsurveyed/Urban,0
HX5 9AH,411005,420948,Unsurveyed/Urban,90
S30 5GH,425053,398398,Cambisols,260
B28 9AU,410771,281771,Unsurveyed/Urban,130
BD1 3BU,415815,433738,Unsurveyed/Urban,130
LE7 8YP,464730,313647,Cambisols,60
LE55 8AG,436927,316828,Planosols,130
NE27 0ZT,432685,569414,Unsurveyed/Urban,60
LN11 8NB,535562,383828,Stagnosols,40
NE28 0EU,432095,568049,Unsurveyed/Urban,50
IP5 7QH,623748,245368,Arenosols,30
BD12 8JG,415273,427032,Unsurveyed/Urban,170
NG34 8UB,506388,346913,Gleysols,20
LE9 1UN,455052,295184,Stagnosols,80
B13 3EB,407502,281065,Unsurveyed/Urban,150
PE13 3HJ,546943,311177,Leptosols,0
ST7 3FE,381011,356344,Arenosols,90
NG2 4NP,459225,339612,Unsurveyed/Urban,30
LS16 7LD,424722,439460,Unsurveyed/Urban,150
OL4 4AW,396795,405665,Cambisols,270
SR2 9DQ,439452,554522,Unsurveyed/Urban,70
LS1 9PZ,428811,433420,Unsurveyed/Urban,30
S6 1FR,433080,392389,Unsurveyed/Urban,170
NG4 2AF,461951,340741,Unsurveyed/Urban,30
TS17 7AT,445500,518200,Unsurveyed/Urban,10
TS6 6LT,453916,519812,Unsurveyed/Urban,10
B36 8UT,412013,289615,Unsurveyed/Urban,90
LE8 6PT,456096,296647,Stagnosols,70
PE20 3ST,524960,347839,Gleysols,0
HX1 1AE,409240,425238,Unsurveyed/Urban,150
NE65 9JP,416418,603947,Stagnosols,160
LE18 4XS,458650,298946,Unsurveyed/Urban,80
B29 7JF,405500,282800,Unsurveyed/Urban,140
BD23 3AL,393538,450896,Stagnosols,120
TS19 0FB,443684,520850,Unsurveyed/Urban,10
DN21 4AX,498162,396027,Cambisols,20
SK8 7FS,387829,385446,Unsurveyed/Urban,80
B32 2EY,401278,285098,Unsurveyed/Urban,200
PE2 8FZ,521492,295770,Cambisols,10
BD20 8SA,400127,445133,Stagnosols,130
YO17 9YG,478689,471801,Leptosols,30
NG4 3DX,461426,341554,Unsurveyed/Urban,40
LS22 4XJ,440525,448399,Unsurveyed/Urban,30
B23 3LF,410906,291898,Unsurveyed/Urban,120
B30 3QD,406563,279386,Unsurveyed/Urban,150
DL2 1UX,435056,513729,Stagnosols,40
HU7 3GP,508796,434801,Gleysols,0
NG10 1WP,448677,332186,Unsurveyed/Urban,30
S80 3NB,454913,373431,Planosols,60
DE55 2BR,444107,357189,Unsurveyed/Urban,140
LE8 3UW,461640,292284,Stagnosols,120
YO61 3RD,455510,474574,Cambisols,140
YO6 2SE,447253,473832,Stagnosols,30
S98 1QH,437938,389864,Unsurveyed/Urban,40
WF2 8NW,431049,420108,Unsurveyed/Urban,50
NG10 5DN,447969,336935,Unsurveyed/Urban,40
B72 1SZ,411619,296818,Unsurveyed/Urban,130
DN10 6LT,464926,393131,Arenosols,10
DH1 1AN,430459,543996,Unsurveyed/Urban,80
WF1 1JH,433500,420600,Unsurveyed/Urban,30
HD9 2AU,409861,407627,Stagnosols,360
PE31 8DD,580545,344326,Cambisols,10
HX3 9LB,410027,423116,Unsurveyed/Urban,100
DN14 6DG,474151,423918,Cambisols,10
B19 2BT,406400,289100,Unsurveyed/Urban,120
TS12 1EH,466352,521672,Cambisols,30
NR1 1ED,623910,307899,Histosols,10
LE16 7UX,475503,291128,Gleysols,70
LE16 7BH,472779,287889,Planosols,100
DN31 3PZ,527981,411068,Unsurveyed/Urban,10
DE22 2QA,433573,338477,Unsurveyed/Urban,70
DN14 0RU,459070,423498,Arenosols,10
B1 1US,406649,286530,Unsurveyed/Urban,130
B73 9NF,411619,296818,Unsurveyed/Urban,130
LN5 9QQ,497551,364545,Leptosols,70
B14 4NR,408859,278826,Unsurveyed/Urban,150
NE20 9BU,417800,571900,Stagnosols,70
DN19 7RB,508355,423807,Gleysols,10
LS23 6DS,442608,445671,Unsurveyed/Urban,40
HU8 0DY,510546,431643,Unsurveyed/Urban,0
LE18 3ZS,460512,298869,Unsurveyed/Urban,90
ST14 8ER,409882,333624,Gleysols,80
B77 1PD,421569,300332,Unsurveyed/Urban,70
SK12 4HL,400700,386400,Stagnosols,160
NG17 8SL,450370,355452,Unsurveyed/Urban,150
S40 1AD,438000,371000,Unsurveyed/Urban,90
DN4 5DN,459789,402178,Unsurveyed/Urban,10
TS23 3JP,446694,524390,Unsurveyed/Urban,10
DH9 7JQ,417823,551752,Unsurveyed/Urban,240
IP16 4AB,644673,262475,Luvisols,10
NE61 6JH,420996,585339,Stagnosols,50
NG13 0AR,480156,339171,Gleysols,30
PE15 0BL,541692,299274,Gleysols,0
IP19 8AJ,638698,277475,Histosols,10
DE5 7BH,441182,355749,Unsurveyed/Urban,140
LS7 4TN,430515,435070,Unsurveyed/Urban,40
NG5 6GH,457465,345340,Unsurveyed/Urban,80
SK8 3JW,385015,385730,Unsurveyed/Urban,70
B11 3HX,410914,283160,Unsurveyed/Urban,120
S81 7NS,458290,381888,Cambisols,50
DE24 3BT,433164,330972,Planosols,50
HU18 1DW,520034,447959,Stagnosols,10
LN2 3QX,502300,379135,Cambisols,20
ST17 9SX,391217,321688,Unsurveyed/Urban,100
NE40 3DR,416141,563958,Unsurveyed/Urban,80
DN18 5EW,502292,422425,Leptosols,10
DE15 9EU,425452,321741,Unsurveyed/Urban,60
BD20 5JP,408352,442088,Unsurveyed/Urban,100
SK22 1BP,402269,386854,Podsols,180
NG3 4QQ,457584,340963,Unsurveyed/Urban,50
NG23 6SG,480808,370287,Luvisols,10
LE2 6DZ,459213,301884,Unsurveyed/Urban,70
WS10 8BA,398266,296861,Unsurveyed/Urban,130
TS7 8RJ,451011,515930,Unsurveyed/Urban,40
S66 0QS,447961,392920,Unsurveyed/Urban,130
OL9 8EB,389417,403066,Unsurveyed/Urban,110
SK3 9QE,388732,388915,Unsurveyed/Urban,70
PE15 0SE,540230,291091,Luvisols,0
DL14 4EL,420685,529185,Unsurveyed/Urban,100
WS3 4NX,402273,304011,Unsurveyed/Urban,150
NG24 4DR,480431,352654,Unsurveyed/Urban,20
NE65 7DR,394453,607862,Stagnosols,250
NE10 9LW,427630,562019,Unsurveyed/Urban,50
NE7 7QE,426398,567291,Unsurveyed/Urban,70
YO8 8JW,464638,428635,Gleysols,10
S32 3YL,425041,374669,Stagnosols,170
NN14 2AN,481388,280995,Cambisols,120
OL8 1QU,392503,403564,Unsurveyed/Urban,180
PE7 1HB,526876,297155,Unsurveyed/Urban,10
HU3 4RR,507700,427400,Unsurveyed/Urban,10
DH4 5YP,434055,549951,Unsurveyed/Urban,60
NE32 5PW,432672,564369,Unsurveyed/Urban,20
ST10 4JG,400667,339581,Cambisols,140
TS5 7QT,449062,517724,Unsurveyed/Urban,10
B1 2QZ,407279,288677,Unsurveyed/Urban,110
DH7 6BB,424027,547849,Stagnosols,130
S44 6LT,448428,369694,Arenosols,170
OL1 1PY,392620,404741,Unsurveyed/Urban,190
WF7 7BB,442782,416462,Cambisols,50
HU1 3NG,509459,428811,Unsurveyed/Urban,0
SR6 0EP,440392,558230,Unsurveyed/Urban,20
TS17 0HH,444975,515504,Unsurveyed/Urban,10
DN32 8QW,528657,408093,Unsurveyed/Urban,10
B43 7HL,406478,295338,Unsurveyed/Urban,160
HU5 5FZ,506903,430092,Unsurveyed/Urban,0
OL6 9SB,395266,399914,Unsurveyed/Urban,150
BD1 9AT,416178,434065,Unsurveyed/Urban,100
DE21 7QR,440867,335901,Stagnosols,80
DE11 8BG,432646,317821,Planosols,130
HG4 2EG,429787,471838,Unsurveyed/Urban,50
ST7 2NL,379875,356016,Unsurveyed/Urban,90
WS11 1RB,396558,308404,Luvisols,120
S10 2AZ,433083,387158,Unsurveyed/Urban,190
SK13 8UJ,404466,393602,Stagnosols,170
S10 9AS,432282,387039,Unsurveyed/Urban,230
HD9 1TA,415770,407280,Cambisols,240
DH4 9DU,434055,549951,Unsurveyed/Urban,60
B28 0DT,409958,280662,Unsurveyed/Urban,130
TS11 6BE,463147,522670,Cambisols,10
LN6 3TX,497221,370656,Unsurveyed/Urban,10
DE55 6LE,440643,359212,Stagnosols,130
LS12 2JZ,425830,434963,Unsurveyed/Urban,50
BD16 3QA,412456,439632,Stagnosols,160
LE16 8ZG,474422,287870,Gleysols,80
HX7 7UQ,398214,428318,Cambisols,270
S74 9NJ,436375,401048,Unsurveyed/Urban,170
YO1 0NB,459652,451975,Unsurveyed/Urban,10
NG1 2HD,457400,339700,Unsurveyed/Urban,40
DE14 3UD,425087,324294,Unsurveyed/Urban,50
B31 4BQ,402277,278324,Unsurveyed/Urban,170
S3 8GB,435782,387779,Unsurveyed/Urban,50
DE11 0ZY,429237,320634,Unsurveyed/Urban,110
HU16 4ND,505425,433058,Unsurveyed/Urban,10
B3 3PS,406700,287000,Unsurveyed/Urban,140
LE1 2YU,459294,304253,Unsurveyed/Urban,70
HG1 3EH,430369,457525,Unsurveyed/Urban,80
B75 5ST,413980,300575,Arenosols,160
DN12 1AP,453769,399034,Unsurveyed/Urban,60
YO60 7LU,476926,464983,Cambisols,50
B36 8BX,413354,289685,Unsurveyed/Urban,90
TS18 3GP,444052,519811,Unsurveyed/Urban,10
WS2 8DF,401117,298836,Unsurveyed/Urban,130
YO43 3BJ,488084,441362,Stagnosols,30
IP12 4HT,626012,248951,Luvisols,40
S65 3SS,445935,392852,Luvisols,100
NG31 7NB,489269,335507,Cambisols,80
NN18 8EH,487632,287186,Arenosols,120
DN16 3NJ,490157,407988,Unsurveyed/Urban,30
NG8 9LE,452350,340560,Unsurveyed/Urban,60
YO2 3ED,456852,450443,Unsurveyed/Urban,20
HU17 9FA,503449,439569,Unsurveyed/Urban,10
HU1 1UJ,510020,428193,Unsurveyed/Urban,0
IP11 8ET,629199,233386,Unsurveyed/Urban,10
HG3 2JF,423771,459051,Stagnosols,140
YO61 2PQ,443844,470116,Cambisols,20
PE1 5AZ,520146,298352,Unsurveyed/Urban,10
TS19 8DD,442590,521189,Unsurveyed/Urban,30
S80 4PT,452864,376215,Unsurveyed/Urban,110
S64 8QN,445392,399678,Unsurveyed/Urban,40
NR21 0ED,596974,326098,Luvisols,40
S36 9QD,423335,403735,Stagnosols,220
NR18 9FH,611897,300251,Luvisols,50
IP5 1DN,620278,246548,Unsurveyed/Urban,40
DE65 6FL,430295,326920,Cambisols,50
LE4 5YW,459525,306627,Unsurveyed/Urban,50
WS7 0AY,405811,308944,Unsurveyed/Urban,160
S20 1GG,444376,383200,Unsurveyed/Urban,60
DL16 7UH,425631,533640,Unsurveyed/Urban,120
NN8 5YT,488027,268993,Unsurveyed/Urban,80
S30 3WL,436141,393862,Unsurveyed/Urban,60
BD1 9LJ,416178,434065,Unsurveyed/Urban,100
NG33 5AA,494348,332600,Leptosols,110
SK9 5LX,383500,380800,Unsurveyed/Urban,80
TS17 9DD,445847,516625,Unsurveyed/Urban,10
B8 1HD,410053,287823,Unsurveyed/Urban,110
LN7 6UR,511833,401252,Leptosols,90
LE2 8NH,457243,301125,Unsurveyed/Urban,60
NR30 2EW,653050,307300,Unsurveyed/Urban,0
NR23 1BP,591634,343704,Leptosols,10
ST15 9DN,389966,332073,Stagnosols,110
CV13 0EZ,439795,305025,Stagnosols,120
SK22 4EF,399942,386717,Cambisols,250
NE66 1RD,419225,612671,Unsurveyed/Urban,70
LN8 3PS,504112,394026,Planosols,10
B2 4XB,406984,286705,Unsurveyed/Urban,130
NE6 5NL,426421,565103,Unsurveyed/Urban,40
DL2 3RN,414157,516873,Stagnosols,120
NE23 6SD,426356,576878,Unsurveyed/Urban,70
SK4 4LZ,388225,391582,Unsurveyed/Urban,70
LE3 6RP,456059,305374,Unsurveyed/Urban,90
SK23 6AS,403989,382574,Stagnosols,210
SK22 3ED,399423,385715,Cambisols,210
NE61 2SL,420305,585378,Unsurveyed/Urban,50
LE6 2HG,442464,313073,Unsurveyed/Urban,150
LS21 1NF,424364,445332,Stagnosols,50
WF5 9SN,428700,421000,Unsurveyed/Urban,80
B36 8NE,413652,289414,Unsurveyed/Urban,90
HD6 1BT,414700,422400,Unsurveyed/Urban,70
DN15 6NT,489487,411188,Unsurveyed/Urban,40
DE2 9PN,434713,331512,Unsurveyed/Urban,40
S8 0WW,434426,383894,Unsurveyed/Urban,90
NE8 1FU,425575,563276,Unsurveyed/Urban,50
SK8 7EH,387750,385769,Unsurveyed/Urban,80
B29 6EU,404763,282657,Unsurveyed/Urban,130
PE14 8QP,551283,304218,Gleysols,0
BD23 9EX,398409,451291,Gleysols,100
DL3 0YH,428341,516630,Unsurveyed/Urban,60
DE3 6DJ,433315,334497,Unsurveyed/Urban,100
SK12 3LB,399500,384600,Stagnosols,170
S60 1LN,442100,393100,Unsurveyed/Urban,40
S81 8GU,457400,383884,Planosols,40
BD17 5BS,414605,439114,Unsurveyed/Urban,170
DH8 6HX,412476,552025,Unsurveyed/Urban,240
HD7 5NE,408948,414024,Unsurveyed/Urban,150
LE5 1LF,463428,305614,Unsurveyed/Urban,80
LS16 5JN,426764,437499,Unsurveyed/Urban,110
BD17 6BD,415040,440874,Podsols,160
SK22 4BS,400017,385471,Stagnosols,160
DE22 4GN,432412,336592,Unsurveyed/Urban,80
HD9 3WX,414289,408277,Unsurveyed/Urban,140
YO8 0PH,461564,432503,Unsurveyed/Urban,10
WF17 5PH,424691,423893,Unsurveyed/Urban,60
YO7 4QJ,442892,489358,Cambisols,110
PE6 9RR,512382,312287,Cambisols,0
B45 8SP,399790,276967,Unsurveyed/Urban,200
WS2 8GF,401356,298698,Unsurveyed/Urban,120
S45 8EH,442232,362178,Stagnosols,150
DN5 8LP,454849,404296,Arenosols,30
DE12 8JY,424335,317621,Cambisols,70
ST16 9UR,391804,322841,Unsurveyed/Urban,80
CW2 6LG,370804,353950,Unsurveyed/Urban,50
NE28 6DH,429731,566177,Unsurveyed/Urban,20
DH2 1DE,425156,553199,Stagnosols,80
WA16 0FF,373331,378288,Stagnosols,50
S9 1UU,439282,389049,Unsurveyed/Urban,50
LE6 5LX,434644,316741,Arenosols,130
WF13 3BW,421696,420082,Unsurveyed/Urban,50
NE63 9TS,429412,586630,Unsurveyed/Urban,30
LS27 8EU,427689,427655,Stagnosols,90
LS25 9AU,450702,432629,Stagnosols,10
LS6 4HX,428555,436848,Unsurveyed/Urban,60
WF8 2QX,446199,420791,Unsurveyed/Urban,50
SK11 7RW,391973,372289,Unsurveyed/Urban,140
OL7 9QU,393611,400466,Unsurveyed/Urban,130
S63 0EP,446309,405809,Unsurveyed/Urban,60
YO4 4AY,480640,438093,Podsols,10
NE39 1QB,416712,558390,Unsurveyed/Urban,50
NR19 9BN,598786,313453,Luvisols,50
SR2 8RW,440317,555735,Unsurveyed/Urban,30
DL13 2JX,397687,538853,Cambisols,210
NG2 4LW,458952,339921,Unsurveyed/Urban,30
